DateKey,FullDate,DayOfWeek,DayName,DayOfMonth,DayOfYear,WeekOfYear,MonthNumber,MonthName,MonthShort,Quarter,QuarterName,CalendarYear,IsWeekend,IsHoliday,FiscalYear,FiscalQuarter,FiscalMonth
20230101,01/01/2023,1,Sunday,1,1,1,1,January,Jan,1,Q1,2023,1,1,2023,1,1
20230102,02/01/2023,2,Monday,2,2,2,1,January,Jan,1,Q1,2023,0,0,2023,1,1
20230103,03/01/2023,3,Tuesday,3,3,2,1,January,Jan,1,Q1,2023,0,0,2023,1,1
20230104,04/01/2023,4,Wednesday,4,4,2,1,January,Jan,1,Q1,2023,0,0,2023,1,1
20230105,05/01/2023,5,Thursday,5,5,2,1,January,Jan,1,Q1,2023,0,0,2023,1,1
20230106,06/01/2023,6,Friday,6,6,2,1,January,Jan,1,Q1,2023,0,0,2023,1,1
20230107,07/01/2023,7,Saturday,7,7,2,1,January,Jan,1,Q1,2023,1,0,2023,1,1
20230108,08/01/2023,1,Sunday,8,8,2,1,January,Jan,1,Q1,2023,1,0,2023,1,1
20230109,09/01/2023,2,Monday,9,9,3,1,January,Jan,1,Q1,2023,0,0,2023,1,1
20230110,10/01/2023,3,Tuesday,10,10,3,1,January,Jan,1,Q1,2023,0,0,2023,1,1
20230131,31/01/2023,3,Tuesday,31,31,5,1,January,Jan,1,Q1,2023,0,0,2023,1,1
20230201,01/02/2023,4,Wednesday,1,32,5,2,February,Feb,1,Q1,2023,0,0,2023,1,2
20230214,14/02/2023,3,Tuesday,14,45,7,2,February,Feb,1,Q1,2023,0,0,2023,1,2
20230228,28/02/2023,3,Tuesday,28,59,9,2,February,Feb,1,Q1,2023,0,0,2023,1,2
20230301,01/03/2023,4,Wednesday,1,60,9,3,March,Mar,1,Q1,2023,0,0,2023,1,3
20230315,15/03/2023,4,Wednesday,15,74,11,3,March,Mar,1,Q1,2023,0,0,2023,1,3
20230331,31/03/2023,6,Friday,31,90,13,3,March,Mar,1,Q1,2023,0,0,2023,1,3
20230401,01/04/2023,7,Saturday,1,91,13,4,April,Apr,2,Q2,2023,1,0,2023,2,4
20230415,15/04/2023,7,Saturday,15,105,15,4,April,Apr,2,Q2,2023,1,0,2023,2,4
20230430,30/04/2023,1,Sunday,30,120,17,4,April,Apr,2,Q2,2023,1,0,2023,2,4
20230501,01/05/2023,2,Monday,1,121,18,5,May,May,2,Q2,2023,0,1,2023,2,5
20230515,15/05/2023,2,Monday,15,135,20,5,May,May,2,Q2,2023,0,0,2023,2,5
20230531,31/05/2023,4,Wednesday,31,151,22,5,May,May,2,Q2,2023,0,0,2023,2,5
20230601,01/06/2023,5,Thursday,1,152,22,6,June,Jun,2,Q2,2023,0,0,2023,2,6
20230615,15/06/2023,5,Thursday,15,166,24,6,June,Jun,2,Q2,2023,0,0,2023,2,6
20230630,30/06/2023,6,Friday,30,181,26,6,June,Jun,2,Q2,2023,0,0,2023,2,6
20230701,01/07/2023,7,Saturday,1,182,26,7,July,Jul,3,Q3,2023,1,0,2023,3,7
20230704,04/07/2023,3,Tuesday,4,185,27,7,July,Jul,3,Q3,2023,0,1,2023,3,7
20230715,15/07/2023,7,Saturday,15,196,28,7,July,Jul,3,Q3,2023,1,0,2023,3,7
20230731,31/07/2023,2,Monday,31,212,31,7,July,Jul,3,Q3,2023,0,0,2023,3,7
20230801,01/08/2023,3,Tuesday,1,213,31,8,August,Aug,3,Q3,2023,0,0,2023,3,8
20230815,15/08/2023,3,Tuesday,15,227,33,8,August,Aug,3,Q3,2023,0,0,2023,3,8
20230831,31/08/2023,5,Thursday,31,243,35,8,August,Aug,3,Q3,2023,0,0,2023,3,8
20230901,01/09/2023,6,Friday,1,244,35,9,September,Sep,3,Q3,2023,0,0,2023,3,9
20230915,15/09/2023,6,Friday,15,258,37,9,September,Sep,3,Q3,2023,0,0,2023,3,9
20230930,30/09/2023,7,Saturday,30,273,39,9,September,Sep,3,Q3,2023,1,0,2023,3,9
20231001,01/10/2023,1,Sunday,1,274,39,10,October,Oct,4,Q4,2023,1,0,2023,4,10
20231015,15/10/2023,1,Sunday,15,288,41,10,October,Oct,4,Q4,2023,1,0,2023,4,10
20231031,31/10/2023,3,Tuesday,31,304,44,10,October,Oct,4,Q4,2023,0,0,2023,4,10
20231101,01/11/2023,4,Wednesday,1,305,44,11,November,Nov,4,Q4,2023,0,0,2023,4,11
20231115,15/11/2023,4,Wednesday,15,319,46,11,November,Nov,4,Q4,2023,0,0,2023,4,11
20231123,23/11/2023,5,Thursday,23,327,47,11,November,Nov,4,Q4,2023,0,1,2023,4,11
20231130,30/11/2023,5,Thursday,30,334,48,11,November,Nov,4,Q4,2023,0,0,2023,4,11
20231201,01/12/2023,6,Friday,1,335,48,12,December,Dec,4,Q4,2023,0,0,2023,4,12
20231215,15/12/2023,6,Friday,15,349,50,12,December,Dec,4,Q4,2023,0,0,2023,4,12
20231225,25/12/2023,2,Monday,25,359,52,12,December,Dec,4,Q4,2023,0,1,2023,4,12
20231231,31/12/2023,1,Sunday,31,365,52,12,December,Dec,4,Q4,2023,1,0,2023,4,12
